evolution$generation,gravityDecay,innovationDecay,mutationRate,newInnovationHierarchy,earlyAdoptersRate,utilityStd,utilityDistribution,averageGravityFlow,oppAverageUtility,oppAverageUtility,averageGravityFlow
5000,0.01,0.3950384067615065,0.5,0.10003148990992487,0.01,1.996272834069794,log-normal,3.0670834574824514E-5,-9.721164451272319,-9.721164451272319,3.0670834574824514E-5
5000,0.021070305812603253,0.037848539699081335,0.5,0.1,0.5827289471096148,1.9929536112439343,normal,9.143592754966549E-6,-3.7868764020165484,-3.7868764020165484,9.143592754966549E-6
5000,0.011378195604984983,0.0773338094230958,0.5,0.1,0.0978932925941197,2.0,log-normal,1.9347398986061417E-5,-6.966928586084695,-6.966928586084695,1.9347398986061417E-5
5000,0.1707688886157952,0.179596601813454,0.49979274086192443,0.1,0.5908192133625798,1.994111226354455,log-normal,1.804335806557699E-5,-6.423701652478885,-6.423701652478885,1.804335806557699E-5
5000,0.025860153330258248,0.30117087823810884,0.49555159554066297,0.10000971921086454,0.07034232128445762,1.9621267059294458,log-normal,2.503638749614897E-5,-8.72102936513124,-8.72102936513124,2.503638749614897E-5
5000,0.019741814886459118,0.32420688744904574,0.4950883313232013,0.1,0.07002853668539369,1.9645544950455813,log-normal,2.840628730088613E-5,-9.518340768347976,-9.518340768347976,2.840628730088613E-5
5000,0.012436605436560635,0.2898832570136043,0.4978319154330679,0.1,0.010458644432857406,1.9082113493762005,log-normal,2.642961949786799E-5,-9.115355529370387,-9.115355529370387,2.642961949786799E-5
5000,0.011095716630686309,0.05554096549088505,0.4999957241502589,0.10117605432913428,0.012403676620769338,1.999931448918276,normal,1.0576400567794038E-5,-4.343169110790823,-4.343169110790823,1.0576400567794038E-5
5000,0.01,0.10181218879313886,0.49973449356006494,0.10001842867943024,0.052112132422293005,2.0,log-normal,2.032385627799638E-5,-8.441024562901,-8.441024562901,2.032385627799638E-5
5000,0.014657244560758984,0.26669589822071105,0.493809453056626,0.10011698779209785,0.05442475721975532,1.9239088869440666,log-normal,2.633357518902064E-5,-8.838665263401307,-8.838665263401307,2.633357518902064E-5
5000,0.02618480158909172,0.331065842581306,0.49490081006993153,0.10001024065906473,0.06993543718010535,1.962141291072247,log-normal,2.722211977635236E-5,-9.323507048359728,-9.323507048359728,2.722211977635236E-5
5000,0.010275169620996836,0.2855158520531303,0.49480438648136005,0.10006164918718276,0.07559939075127185,1.9277279506979799,log-normal,2.5071358900039026E-5,-8.799668263934535,-8.799668263934535,2.5071358900039026E-5
5000,0.01000087483143747,0.1390435848105745,0.4998018359618788,0.10144065089382309,0.6005600074614901,1.9574152127849014,log-normal,1.6383225899049408E-5,-6.267287569515739,-6.267287569515739,1.6383225899049408E-5
5000,0.012270683285503643,0.42623537056496125,0.4995188524854918,0.10000024994655819,0.05734488735475516,1.9972702971724037,normal,1.3141443581552205E-5,-4.524269404118869,-4.524269404118869,1.3141443581552205E-5
5000,0.02781721318705744,0.41188271999203346,0.49999985813341385,0.10001118101544573,0.06919393922445478,1.9397480178553481,normal,1.2147053446920256E-5,-4.4978347107478385,-4.4978347107478385,1.2147053446920256E-5
5000,0.01844381803918964,0.3263450611351206,0.4990136344102417,0.10054628603180311,0.01,1.9629032008989844,normal,1.3913070727163383E-5,-4.5672007159086565,-4.5672007159086565,1.3913070727163383E-5
5000,0.021368309859009886,0.037946615484777166,0.4979816603886623,0.1,0.6194148062242705,1.9938055717618959,normal,9.728180624688152E-6,-3.7911400064324035,-3.7911400064324035,9.728180624688152E-6
5000,0.036779949181829044,0.07227265464760516,0.4998325458804786,0.1,0.01,1.9995389815543383,normal,1.1119341108093272E-5,-4.4061344318417355,-4.4061344318417355,1.1119341108093272E-5
5000,0.010449667429301262,0.06354616270385133,0.49999999999999994,0.10111324257698832,0.01,2.0,normal,1.0064346472253903E-5,-4.274445853827522,-4.274445853827522,1.0064346472253903E-5
